2021-11-05 17:20:34.6379|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 17:20:34.6580|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 17:40:09.0113|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 17:40:09.1274|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 17:40:09.1504|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 17:59:07.3520|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 17:59:07.4288|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 17:59:07.4523|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 18:02:07.9947|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 18:02:08.0872|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-05 18:02:08.1008|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
